lambda (nm),counts,
616.702,-244.83,
617.042,-205.83,
617.381,-112.83,
0.618,-159.83,
0.618,-200.83,
618.399,-171.83,
618.738,-359.83,
619.077,74.17,
619.416,-273.83,
619.755,-261.83,
620.094,-409.83,
620.433,-195.83,
620.772,-252.83,
621.111,-433.83,
0.621,-226.83,
621.789,-24.83,
622.128,-45.83,
622.466,-409.83,
622.805,-594.83,
623.144,-358.83,
623.482,-185.83,
623.821,-32.83,
624.159,590.17,
624.498,-248.83,
624.836,-280.83,
625.175,-210.83,
625.513,-154.83,
625.851,735.17,
0.626,-155.83,
626.528,-209.83,
626.866,-415.83,
627.204,-169.83,
627.542,-350.83,
627.881,-95.83,
628.219,-278.83,
628.557,-196.83,
628.895,-437.83,
629.232,-125.83,
0.630,-18.83,
629.908,-186.83,
630.246,-194.83,
630.584,-186.83,
630.921,-177.83,
631.259,-310.83,
631.597,708.17,
631.934,-260.83,
632.272,-286.83,
632.609,-284.83,
632.947,-359.83,
633.284,-66.83,
633.621,-446.83,
633.959,-191.83,
634.296,-225.83,
634.633,-172.83,
634.971,-64.83,
635.308,-212.83,
635.645,-252.83,
635.982,-377.83,
636.319,-96.83,
636.656,-216.83,
636.993,-241.83,
0.637,-330.83,
637.667,-308.83,
638.003,-443.83,
0.638,-268.83,
638.677,-187.83,
639.014,-174.83,
0.639,-328.83,
639.687,-204.83,
640.023,-3.83,
0.640,-73.83,
640.696,-235.83,
641.033,-207.83,
641.369,-214.83,
641.706,-236.83,
642.042,-352.83,
642.378,-220.83,
642.715,-311.83,
643.051,-178.83,
643.387,-287.83,
643.723,-339.83,
644.059,109.17,
644.395,-334.83,
644.731,-424.83,
645.067,-304.83,
645.403,-168.83,
645.739,-215.83,
646.075,-446.83,
0.646,-95.83,
646.746,-239.83,
647.082,2141.17,
647.417,591.17,
647.753,-200.83,
648.089,-78.83,
648.424,-213.83,
0.649,-313.83,
649.095,-104.83,
0.649,-74.83,
649.766,46.17,
650.101,-340.83,
650.436,-457.83,
650.771,-169.83,
651.107,-114.83,
651.442,-250.83,
651.777,-310.83,
652.112,-389.83,
652.447,-278.83,
652.782,-199.83,
653.117,-138.83,
653.452,99.17,
653.787,-109.83,
654.121,695.17,
654.456,-77.83,
654.791,-247.83,
655.125,-234.83,
0.655,-230.83,
655.795,-356.83,
656.129,-252.83,
656.464,-96.83,
656.798,-295.83,
657.133,113.17,
657.467,-394.83,
657.801,-342.83,
658.136,-225.83,
0.658,-352.83,
658.804,-321.83,
659.138,-407.83,
659.472,-354.83,
659.806,-158.83,
0.660,-338.83,
660.474,-108.83,
660.808,-198.83,
661.142,-218.83,
661.476,-460.83,
0.662,-190.83,
