lambda (nm),counts
551.478,207.25
551.825,-300.75
552.173,-113.75
552.519,-63.75
552.866,-188.75
553.213,-73.75
0.554,-263.75
553.907,-110.75
554.254,-132.75
554.601,88.25
554.947,-340.75
555.294,-280.75
555.641,-301.75
555.987,-190.75
556.334,-120.75
0.557,-233.75
557.027,-150.75
557.373,-57.75
557.719,7.25
558.066,-58.75
558.412,-328.75
558.758,-364.75
559.105,-189.75
559.451,-260.75
559.797,-85.75
560.143,-322.75
560.489,-83.75
560.835,-193.75
561.181,-151.75
561.527,245.25
561.873,-115.75
562.219,-325.75
562.565,-380.75
562.911,-131.75
563.256,-272.75
563.602,-70.75
563.948,-121.75
564.293,-108.75
564.639,-63.75
564.985,-260.75
0.565,-295.75
565.676,-141.75
566.021,-158.75
566.366,64.25
566.712,-131.75
567.057,-264.75
567.402,-180.75
567.748,-106.75
568.093,213.25
568.438,6.25
568.783,118.25
569.128,802.25
569.473,158.25
569.818,49.25
570.163,199.25
570.508,176.25
570.853,82.25
571.198,91.25
571.543,-54.75
571.887,280.25
572.232,51.25
572.577,241.25
572.921,100.25
573.266,326.25
573.611,1086.25
573.955,181.25
0.574,294.25
574.644,318.25
574.988,440.25
575.333,328.25
575.677,233.25
576.021,377.25
576.366,452.25
0.577,510.25
577.054,725.25
577.398,242.25
577.742,573.25
578.086,485.25
0.578,701.25
578.774,624.25
579.118,683.25
579.462,559.25
579.806,789.25
0.580,1028.25
580.493,793.25
580.837,952.25
581.181,856.25
581.524,895.25
581.868,909.25
582.212,870.25
582.555,1182.25
582.899,1328.25
583.242,1340.25
583.585,2744.25
583.929,1352.25
584.272,1508.25
584.615,2685.25
584.959,1450.25
585.302,1481.25
585.645,1534.25
585.988,1810.25
586.331,1931.25
586.674,2189.25
587.017,2691.25
0.587,1845.25
587.703,2052.25
588.046,1929.25
588.389,2275.25
588.732,2307.25
589.074,2271.25
589.417,2361.25
0.590,2828.25
590.102,2678.25
590.445,2922.25
590.788,2951.25
0.591,3023.25
591.473,3066.25
591.815,2683.25
592.157,3213.25
0.593,3269.25
592.842,3393.25
593.184,3581.25
593.526,3880.25
593.869,4211.25
594.211,4165.25
594.553,4231.25
594.895,4146.25
595.237,4350.25
595.579,4318.25
595.921,4627.25
596.263,5029.25
596.605,5311.25
596.947,6274.25
597.288,6305.25
0.598,7257.25
597.972,6703.25
598.313,6819.25
598.655,6518.25
598.997,6982.25
599.338,7166.25
0.600,7444.25
600.021,7895.25
600.362,9037.25
600.704,10299.25
601.045,10648.25
601.386,11198.25
601.728,11079.25
602.069,11165.25
0.602,10966.25
602.751,11231.25
603.092,11860.25
603.433,14050.25
603.774,14157.25
604.115,15693.25
604.456,17258.25
604.797,18109.25
605.138,19460.25
605.479,20146.25
0.606,20497.25
0.606,20611.25
606.501,20623.25
606.842,21459.25
607.182,22755.25
607.523,24483.25
607.863,26496.25
608.204,29235.25
608.544,32372.25
608.885,34210.25
609.225,36874.25
609.565,36216.25
609.905,36735.25
610.246,36396.25
610.586,35528.25
610.926,37127.25
611.266,37792.25
611.606,38549.25
611.946,39604.25
612.286,42841.25
612.626,44818.25
612.966,46074.25
613.306,45670.25
613.646,44180.25
613.985,41591.25
614.325,38874.25
614.665,36114.25
615.005,33297.25
615.344,31208.25
615.684,30673.25
616.023,29660.25
616.363,28447.25
616.702,28407.25
617.042,28285.25
617.381,26783.25
0.618,24549.25
0.618,22511.25
618.399,20277.25
618.738,18431.25
619.077,17608.25
619.416,16083.25
619.755,15518.25
620.094,15135.25
620.433,15363.25
620.772,15351.25
621.111,15026.25
0.621,15067.25
621.789,14625.25
622.128,14329.25
622.466,13327.25
622.805,12527.25
623.144,12487.25
623.482,12479.25
623.821,12255.25
624.159,12760.25
624.498,11946.25
624.836,11765.25
625.175,12084.25
625.513,11803.25
625.851,12117.25
0.626,10954.25
626.528,10292.25
626.866,9688.25
627.204,9480.25
627.542,8996.25
627.881,8850.25
628.219,8278.25
628.557,7980.25
628.895,7601.25
629.232,7466.25
0.630,7415.25
629.908,6787.25
630.246,6346.25
630.584,5713.25
630.921,5462.25
631.259,5174.25
631.597,5615.25
631.934,4377.25
632.272,4167.25
632.609,3712.25
632.947,3569.25
633.284,3629.25
633.621,3128.25
633.959,3112.25
634.296,2784.25
634.633,2777.25
634.971,2615.25
635.308,2411.25
635.645,2192.25
635.982,1970.25
636.319,2072.25
636.656,1780.25
636.993,1633.25
0.637,1462.25
637.667,1391.25
638.003,1362.25
0.638,1248.25
638.677,1374.25
639.014,1300.25
0.639,1092.25
639.687,1086.25
640.023,1249.25
0.640,1035.25
640.696,956.25
641.033,789.25
641.369,818.25
641.706,789.25
642.042,625.25
642.378,620.25
642.715,586.25
643.051,572.25
643.387,600.25
643.723,441.25
644.059,808.25
644.395,276.25
644.731,222.25
645.067,286.25
645.403,388.25
645.739,273.25
646.075,81.25
0.646,335.25
646.746,140.25
647.082,2442.25
647.417,1002.25
647.753,237.25
648.089,241.25
648.424,217.25
0.649,10.25
649.095,204.25
0.649,217.25
649.766,264.25
650.101,-24.75
650.436,-183.75
650.771,22.25
651.107,129.25
651.442,-56.75
651.777,-146.75
652.112,-81.75
652.447,-99.75
652.782,50.25
653.117,69.25
653.452,259.25
653.787,107.25
654.121,802.25
654.456,80.25
654.791,-52.75
655.125,-97.75
0.655,-42.75
655.795,-257.75
656.129,-123.75
656.464,59.25
656.798,-236.75
657.133,274.25
657.467,-292.75
657.801,-185.75
658.136,-65.75
0.658,-233.75
658.804,-207.75
659.138,-257.75
659.472,-230.75
659.806,-29.75
0.660,-275.75
660.474,-88.75
660.808,-74.75
661.142,-212.75
661.476,-352.75
0.662,-156.75
662.144,-165.75
662.477,18.25
662.811,-134.75
663.145,-77.75
663.478,-143.75
663.812,-281.75
664.145,-201.75
664.479,-144.75
664.812,-296.75
665.146,-116.75
665.479,-184.75
665.812,-131.75
666.146,-361.75
666.479,-364.75
666.812,-353.75
667.145,-387.75
667.478,-228.75
667.811,-127.75
668.144,-187.75
668.477,-253.75
0.669,-400.75
669.143,-73.75
669.476,-296.75
669.809,-280.75
670.141,-184.75
670.474,-235.75
670.807,-206.75
671.139,-278.75
